id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
1,2019-10-09 23:42:50.698438,,,,,,f,,{},3BV8HQ2ZZXQ33KJPW4BKYCSOVZDA6S,AssignmentAccepted
2,2019-10-09 23:42:53.237953,,,,,,f,,{},3TOK3KHVJU7B9ORVPXLU5LCPFR17ON,AssignmentAccepted
3,2019-10-09 23:42:53.270807,,,,,,f,,{},36TFCYNS45ZVWMBZ3XU2FBSC5Y1XHJ,AssignmentAccepted
4,2019-10-09 23:43:00.456649,,,,,,f,,{},39ASUFLU6YWJCCKXDWMWU8VZDI9XE3,AssignmentAccepted
5,2019-10-09 23:43:02.833313,,,,,,f,,{},3LUY3GC630PTUO3W4XY9ULHFPWX7P4,AssignmentAccepted
6,2019-10-09 23:43:31.117821,,,,,,f,,{},36TFCYNS45ZVWMBZ3XU2FBSC5Y1XHJ,AssignmentReturned
7,2019-10-09 23:43:49.122647,,,,,,f,,{},36TFCYNS45ZVWMBZ3XU2FBSC5Y1XHJ,AssignmentAccepted
8,2019-10-09 23:45:30.425796,,,,,,f,,{},3TOK3KHVJU7B9ORVPXLU5LCPFR17ON,AssignmentSubmitted
9,2019-10-09 23:45:41.393032,,,,,,f,,{},3KV0LJBBH3AXR4QYLV4NIYEKL3HMRN,AssignmentAccepted
10,2019-10-09 23:45:59.231629,,,,,,f,,{},36TFCYNS45ZVWMBZ3XU2FBSC5Y1XHJ,AssignmentReturned
11,2019-10-09 23:46:30.858182,,,,,,f,,{},3WQ3B2KGE95DF8NKWCZZYRLD56K1BI,AssignmentAccepted
12,2019-10-09 23:47:31.203736,,,,,,f,,{},3LUY3GC630PTUO3W4XY9ULHFPWX7P4,AssignmentSubmitted
13,2019-10-09 23:47:44.611944,,,,,,f,,{},3EG49X351V1FZXRI7E3YIK3MWKOX6L,AssignmentAccepted
14,2019-10-09 23:48:59.687984,,,,,,f,,{},39ASUFLU6YWJCCKXDWMWU8VZDI9XE3,AssignmentAbandoned
15,2019-10-09 23:49:08.081859,,,,,,f,,{},3BV8HQ2ZZXQ33KJPW4BKYCSOVZDA6S,AssignmentAbandoned
16,2019-10-09 23:49:08.334651,,,,,,f,,{},3WQ3B2KGE95DF8NKWCZZYRLD56K1BI,AssignmentSubmitted
17,2019-10-09 23:49:23.177279,,,,,,f,,{},34PGFRQONP0CYS1ZHS11P5UK9O3JWL,AssignmentAccepted
18,2019-10-09 23:49:33.14234,,,,,,f,,{},3C5W7UE9CGFHO0CAUUAF7G08MK4MXL,AssignmentAccepted
19,2019-10-09 23:50:06.273104,,,,,,f,,{},3GNCZX450JCBDQ1UB0AT4CJ5Q47AP2,AssignmentAccepted
20,2019-10-09 23:51:40.245193,,,,,,f,,{},3C5W7UE9CGFHO0CAUUAF7G08MK4MXL,AssignmentSubmitted
21,2019-10-09 23:51:48.660837,,,,,,f,,{},3KV0LJBBH3AXR4QYLV4NIYEKL3HMRN,AssignmentAbandoned
22,2019-10-09 23:52:03.47909,,,,,,f,,{},3R6BYFZZP81BIQKT8762CQGZPJUFX9,AssignmentAccepted
23,2019-10-09 23:52:15.161414,,,,,,f,,{},3KV0LJBBH3AXR4QYLV4NIYEKL3HMRN,AssignmentAccepted
24,2019-10-09 23:52:22.988548,,,,,,f,,{},3GNCZX450JCBDQ1UB0AT4CJ5Q47AP2,AssignmentSubmitted
25,2019-10-09 23:53:40.51612,,,,,,f,,{},3R6BYFZZP81BIQKT8762CQGZPJUFX9,AssignmentSubmitted
26,2019-10-09 23:53:40.623548,,,,,,f,,{},3KV0LJBBH3AXR4QYLV4NIYEKL3HMRN,AssignmentSubmitted
27,2019-10-09 23:53:50.668114,,,,,,f,,{},3EG49X351V1FZXRI7E3YIK3MWKOX6L,AssignmentAbandoned
28,2019-10-09 23:54:35.209399,,,,,,f,,{},33JKGHPFYDJCC6Y6SON69E9AK6XMN4,AssignmentAccepted
29,2019-10-09 23:55:38.648905,,,,,,f,,{},34PGFRQONP0CYS1ZHS11P5UK9O3JWL,AssignmentAbandoned
30,2019-10-09 23:56:29.141878,,,,,,f,,{},31LVTDXBL8ZDLM8DLJ38ILZVLYXRLW,AssignmentAccepted
31,2019-10-09 23:56:56.525363,,,,,,f,,{},33JKGHPFYDJCC6Y6SON69E9AK6XMN4,AssignmentSubmitted
32,2019-10-10 00:02:56.934204,,,,,,f,,{},31LVTDXBL8ZDLM8DLJ38ILZVLYXRLW,AssignmentAbandoned
33,2019-10-10 00:03:39.193256,,,,,,f,,{},3P529IW9KZAGIW34UO3E1WLCIAQFLT,AssignmentAccepted
34,2019-10-10 00:06:31.404483,,,,,,f,,{},3P529IW9KZAGIW34UO3E1WLCIAQFLT,AssignmentSubmitted
