id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2019-10-09 23:43:39.594661,,,,,,t,2019-10-09 23:45:30.681073,{},1,1,5,6,5,2019-10-09 23:43:39.604054,received
3,2019-10-09 23:45:53.805657,,,,,,f,,{},3,45,3,8,3,2019-10-09 23:45:53.810557,received
2,2019-10-09 23:44:16.813146,,,,,,t,2019-10-09 23:45:59.274125,{},2,9,2,7,2,2019-10-09 23:44:16.819992,received
4,2019-10-09 23:47:49.746983,,,,,,t,2019-10-09 23:49:08.594941,{},4,67,1,9,1,2019-10-09 23:47:49.750343,received
7,2019-10-09 23:50:41.536645,,,,,,f,,{},3,103,3,8,3,,pending
5,2019-10-09 23:49:50.894822,,,,,,t,2019-10-09 23:51:40.471294,{},5,89,5,10,5,2019-10-09 23:49:50.899953,received
6,2019-10-09 23:50:41.534544,,,,,,t,2019-10-09 23:52:23.235806,{},6,103,3,11,3,2019-10-09 23:50:41.542372,received
9,2019-10-09 23:52:32.068655,,,,,,t,2019-10-09 23:53:40.855996,{},8,136,1,13,1,2019-10-09 23:52:32.075514,received
8,2019-10-09 23:52:25.267683,,,,,,t,2019-10-09 23:53:41.145875,{},7,133,5,12,5,2019-10-09 23:52:25.273163,received
10,2019-10-09 23:55:12.361657,,,,,,f,,{},3,177,3,8,3,,pending
11,2019-10-09 23:55:12.364086,,,,,,f,,{},9,177,3,14,3,2019-10-09 23:55:12.370609,received
12,2019-10-10 00:05:23.32417,,,,,,f,,{},10,199,5,15,5,2019-10-10 00:05:23.335335,received
