id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
1,2019-10-09 23:43:39.550758,,,,,,t,2019-10-09 23:45:30.672897,{},5,6,5
3,2019-10-09 23:45:53.781088,,,,,,f,,{},3,8,3
2,2019-10-09 23:44:16.774341,,,,,,t,2019-10-09 23:45:59.267242,{},2,7,2
4,2019-10-09 23:47:49.723022,,,,,,t,2019-10-09 23:49:08.590076,{},1,9,1
5,2019-10-09 23:49:50.87277,,,,,,t,2019-10-09 23:51:40.466418,{},5,10,5
6,2019-10-09 23:50:41.499752,,,,,,t,2019-10-09 23:52:23.230257,{},3,11,3
8,2019-10-09 23:52:32.037351,,,,,,t,2019-10-09 23:53:40.848525,{},1,13,1
7,2019-10-09 23:52:25.213572,,,,,,t,2019-10-09 23:53:41.139729,{},5,12,5
9,2019-10-09 23:55:12.330968,,,,,,f,,{},3,14,3
10,2019-10-10 00:05:23.22808,,,,,,f,,{},5,15,5
